service_name,service_id,sku_name,sku_id,sku_resource_family,sku_resource_group,sku_usage_type,sku_region,sku_vm_family
Compute Engine,6F81-5844-456A,Licensing Fee for Billing test license. on VM with 64 VCPU,327C-CDF7-52DA,License,Google,OnDemand,global,
Compute Engine,6F81-5844-456A,Sole Tenancy Premium for Sole Tenancy Instance RAM running in Singapore,3298-8D0C-36FE,Compute,RAM,OnDemand,asia-southeast1,
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Salt Lake City,329A-453B-3410,Compute,RAM,OnDemand,us-west3,E2
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Dallas to Sydney,32A4-61F4-AB1D,Network,VPNInterregionIngress,OnDemand,us-south1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Dallas to Sydney,32A4-61F4-AB1D,Network,VPNInterregionIngress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Milan to Melbourne,32AD-0542-C468,Network,InterregionIngress,OnDemand,europe-west8,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Milan to Melbourne,32AD-0542-C468,Network,InterregionIngress,OnDemand,australia-southeast2,
Compute Engine,6F81-5844-456A,Spot Preemptible E2 Instance Ram running in Singapore,32B3-29BC-0D1E,Compute,RAM,Preemptible,asia-southeast1,E2
Compute Engine,6F81-5844-456A,Network Internal Load Balancing: Data Processing Charge in Sao Paulo,32BA-964D-69AF,Network,LoadBalancing,OnDemand,southamerica-east1,
Compute Engine,6F81-5844-456A,Sole Tenancy Overcommit Premium for Sole Tenancy Instance RAM running in Finland,32BE-CE09-EB94,Compute,RAM,OnDemand,europe-north1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Japan to Warsaw,32C2-27D5-9DA6,Network,InterregionEgress,OnDemand,asia-northeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Japan to Warsaw,32C2-27D5-9DA6,Network,InterregionEgress,OnDemand,europe-central2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Netherlands to Paris,32C4-5DC7-50A8,Network,InterregionIngress,OnDemand,europe-west4,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Netherlands to Paris,32C4-5DC7-50A8,Network,InterregionIngress,OnDemand,europe-west9,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Zurich to Warsaw,32C5-60D4-8487,Network,VPNInterregionEgress,OnDemand,europe-west6,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Zurich to Warsaw,32C5-60D4-8487,Network,VPNInterregionEgress,OnDemand,europe-central2,
